token,n
pároco,8
passos,8
paz,8
pedra,8
pedras,8
peixe,8
perfume,8
poltrona,8
pras,8
presença,8
presente,8
primeira,8
pública,8
puta,8
rádio,8
região,8
repartição,8
saúde,8
seco,8
seguida,8
segunda,8
segundo,8
sensação,8
sério,8
sertanejo,8
som,8
suor,8
tardes,8
tímido,8
triste,8
trovões,8
tu,8
um,8
vendedor,8
verdadeiro,8
vergonha,8
vizinhos,8
abstratos,7
agripino,7
andanças,7
antigo,7
baixinho,7
barbearia,7
bebida,7
berço,7
besta,7
bíblia,7
burrinha,7
cabeças,7
cabelo,7
caixão,7
caminho,7
capital,7
carneiro,7
carros,7
chagas,7
cheirosa,7
chiquinho,7
choro,7
claro,7
contase,7
corpos,7
corte,7
coxas,7
cu,7
custo,7
direção,7
disposto,7
distante,7
distinto,7
dondon,7
edifício,7
égua,7
entrada,7
esperança,7
fantasma,7
feijão,7
feita,7
fotos,7
galinha,7
galinhas,7
gargalhada,7
gentil,7
horror,7
humor,7
imburana,7
inferno,7
infernos,7
inútil,7
irmão,7
janelas,7
lembrouse,7
lenda,7
lenha,7
localidade,7
loura,7
luzes,7
mariazinha,7
menos,7
mercado,7
moço,7
mode,7
monsenhor,7
morta,7
música,7
navios,7
ombro,7
ora,7
palacete,7
papeis,7
partir,7
pasta,7
pavor,7
peça,7
pedaços,7
peito,7
pescoço,7
pior,7
pobres,7
política,7
posição,7
pretos,7
próprio,7
puro,7
quer,7
raios,7
rapadura,7
resposta,7
segredo,7
serviço,7
sono,7
sorridente,7
sozinho,7
sr,7
tapiocas,7
telefone,7
televisão,7
tenda,7
terras,7
tesouro,7
tô,7
torre,7
varanda,7
velhos,7
verde,7
verdes,7
vermelho,7
vô,7
vulto,7
zégeraldo,7
abraço,6
absorto,6
adentro,6
advogado,6
afazeres,6
alívio,6
altas,6
amarelos,6
antigas,6
antigos,6
área,6
atônito,6
autor,6
bando,6
belíssima,6
bem,6
benzedor,6
bilhete,6
boticário,6
breve,6
brisa,6
cacimbão,6
cadeados,6
caixeiro,6
caminhos,6
carmosa,6
cartomante,6
casado,6
casamento,6
casarão,6
castelo,6
católico,6
ceará,6
chance,6
chargista,6
cheios,6
coberto,6
cobiça,6
cocadas,6
coco,6
colar,6
compadre,6
completo,6
condições,6
confins,6
conhecido,6
construção,6
consultório,6
contínuo,6
convite,6
cortinas,6
cristo,6
defronte,6
demônios,6
descomunal,6
deserta,6
difícil,6
diplomas,6
diretor,6
dizse,6
empresário,6
encomenda,6
endereço,6
enfermeira,6
esquecido,6
esquina,6
estados,6
estômago,6
europa,6
exemplo,6
explicação,6
falso,6
fatídico,6
febre,6
fedor,6
feladaputa,6
ferreira,6
florencia,6
fogão,6
fundo,6
galhos,6
grave,6
guardaroupa,6
impossível,6
impressionante,6
interminável,6
janeiro,6
jantar,6
jardim,6
joelhos,6
jornalista,6
juízo,6
júlia,6
justo,6
juvenal,6
lágrimas,6
lei,6
licença,6
linha,6
lixo,6
luxo,6
magra,6
mais,6
marrom,6
mata,6
matriz,6
medonha,6
melhores,6
mês,6
metade,6
milagre,6
natureza,6
negóço,6
negra,6
nervoso,6
nicanô,6
nóca,6
números,6
orgulho,6
orlanda,6
ormuz,6
padim,6
página,6
passageiros,6
passarinho,6
pesadeira,6
pleno,6
ponta,6
